,Day,Hour,Minute,Disco,Backup,PV(kW),Battery_state,Battery_percent,Total_load_demand(kW),Price_multiplier
0,1,00,00,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.9877,2.7969999999999993,33.373290476190476
1,1,00,01,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.9754,2.8039999999999994,33.37339047619048
2,1,00,02,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.9625,2.972999999999999,33.37580476190477
3,1,00,03,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.9484,3.3559999999999994,33.38127619047619
4,1,00,04,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.933,3.7579999999999996,33.38701904761905
5,1,00,05,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.9172,3.856,33.38841904761905
6,1,00,06,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.901,4.017999999999999,33.39073333333334
7,1,00,07,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.884,4.226,33.393704761904765
8,1,00,08,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.8666,4.377999999999999,33.395876190476194
9,1,00,09,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.8418,6.6549999999999985,33.428404761904766
10,1,00,10,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.8237,4.579,33.39874761904762
11,1,00,11,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.805,4.774,33.40153333333333
12,1,00,12,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.7865,4.7139999999999995,33.40067619047619
13,1,00,13,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.7676,4.8389999999999995,33.40246190476191
14,1,00,14,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.7488,4.778999999999999,33.401604761904764
15,1,00,15,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.7298,4.855,33.40269047619048
16,1,00,16,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.7041,6.9510000000000005,33.432633333333335
17,1,00,17,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.6783,6.9510000000000005,33.432633333333335
18,1,00,18,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.6528,6.886,33.43170476190476
19,1,00,19,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.6339,4.81,33.40204761904762
20,1,00,20,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.6151,4.81,33.40204761904762
21,1,00,21,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.5962,4.823,33.402233333333335
22,1,00,22,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.5766,5.062,33.40564761904762
23,1,00,23,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.5559,5.38,33.41019047619048
24,1,00,24,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.5343,5.6739999999999995,33.414390476190476
25,1,00,25,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.5124,5.758,33.41559047619048
26,1,00,26,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.4907,5.694000000000001,33.41467619047619
27,1,00,27,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.469,5.694000000000001,33.41467619047619
28,1,00,28,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.4463,6.013,33.41923333333334
29,1,00,29,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.4229,6.203,33.42194761904762
30,1,00,30,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.4009,5.809,33.41631904761905
31,1,00,31,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.379,5.7490000000000006,33.415461904761905
32,1,00,32,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.3571,5.74,33.415333333333336
33,1,00,33,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.3352,5.775000000000001,33.41583333333334
34,1,00,34,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.3134,5.735,33.415261904761905
35,1,00,35,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.291,5.899000000000001,33.41760476190476
36,1,00,36,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.2681,6.059000000000001,33.41989047619048
37,1,00,37,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.2452,6.066000000000002,33.41999047619048
38,1,00,38,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.2223,6.066000000000002,33.41999047619048
39,1,00,39,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.1997,5.973,33.418661904761905
40,1,00,40,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.1771,5.983,33.41880476190477
41,1,00,41,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.1538,6.177,33.421576190476195
42,1,00,42,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.1304,6.2299999999999995,33.422333333333334
43,1,00,43,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.1065,6.379999999999998,33.42447619047619
44,1,00,44,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.0829,6.293999999999998,33.42324761904762
45,1,00,45,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.0599,6.095999999999998,33.42041904761905
46,1,00,46,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.0376,5.879999999999999,33.41733333333334
47,1,00,47,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,99.0153,5.879999999999999,33.41733333333334
48,1,00,48,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.9924,6.055999999999999,33.41984761904762
49,1,00,49,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.9679,6.557999999999999,33.42701904761905
50,1,00,50,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.9434,6.573999999999998,33.42724761904762
51,1,00,51,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.9184,6.705999999999998,33.42913333333333
52,1,00,52,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.8936,6.645999999999998,33.42827619047619
53,1,00,53,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.868,6.914,33.43210476190477
54,1,00,54,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.8418,7.063999999999998,33.434247619047625
55,1,00,55,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.8135,7.754999999999999,33.44411904761905
56,1,00,56,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.7852,7.729,33.44374761904762
57,1,00,57,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.7567,7.779,33.44446190476191
58,1,00,58,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.7267,8.272,33.451504761904765
59,1,00,59,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.6963,8.361,33.45277619047619
60,1,01,00,POWER OUT,BACKUP ONLINE,0.0,DISCHARGING,98.6701,7.085999999999998,33.43456190476191
