hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar),
0,60,0.0391952,0.012884,0,0,0.000653253333333
0,120,0.0391952,0.0128829,0,0,0.000653253333333
0,180,0.0391908,0.0128812,0,0,0.00065318
0,240,0.0391772,0.0128764,0,0,0.000652953333333
0,300,0.0391739,0.0128756,0,0,0.000652898333333
0,360,0.0391788,0.0128777,0,0,0.00065298
0,420,0.0391717,0.0128749,0,0,0.000652861666667
0,480,0.0391653,0.0128727,0,0,0.000652755
0,540,0.0391652,0.0128729,0,0,0.000652753333333
0,600,0.0390088,0.0128214,0,0,0.000650146666667
0,660,0.0391499,0.0128681,0,0,0.000652498333333
0,720,0.03915,0.0128679,0,0,0.0006525
0,780,0.0391539,0.0128694,0,0,0.000652565
0,840,0.039154,0.0128692,0,0,0.000652566666667
0,900,0.0391541,0.0128694,0,0,0.000652568333333
0,960,0.0391567,0.0128702,0,0,0.000652611666667
0,1020,0.0391585,0.0128702,0,0,0.000652641666667
0,1080,0.0391593,0.012871,0,0,0.000652655
0,1140,0.0391593,0.0128711,0,0,0.000652655
0,1200,0.0391552,0.0128703,0,0,0.000652586666667
0,1260,0.0391544,0.0128694,0,0,0.000652573333333
0,1320,0.0391544,0.0128694,0,0,0.000652573333333
0,1380,0.0391401,0.0128643,0,0,0.000652335
0,1440,0.0391273,0.0128598,0,0,0.000652121666667
0,1500,0.0391286,0.012861,0,0,0.000652143333333
0,1560,0.039131,0.0128618,0,0,0.000652183333333
0,1620,0.0391311,0.0128618,0,0,0.000652185
0,1680,0.0391311,0.0128618,0,0,0.000652185
0,1740,0.0391236,0.0128589,0,0,0.00065206
0,1800,0.0391241,0.0128595,0,0,0.000652068333333
0,1860,0.0391196,0.0128581,0,0,0.000651993333333
0,1920,0.0391191,0.0128578,0,0,0.000651985
0,1980,0.0391196,0.012858,0,0,0.000651993333333
0,2040,0.0391197,0.012858,0,0,0.000651995
0,2100,0.0391197,0.012858,0,0,0.000651995
0,2160,0.0391205,0.0128584,0,0,0.000652008333333
0,2220,0.0391129,0.0128555,0,0,0.000651881666667
0,2280,0.0391128,0.0128558,0,0,0.00065188
0,2340,0.0391128,0.0128558,0,0,0.00065188
0,2400,0.0391138,0.0128561,0,0,0.000651896666667
0,2460,0.0391136,0.012856,0,0,0.000651893333333
0,2520,0.0391149,0.0128565,0,0,0.000651915
0,2580,0.0391085,0.0128541,0,0,0.000651808333333
0,2640,0.0390992,0.0128509,0,0,0.000651653333333
0,2700,0.0391188,0.0128582,0,0,0.00065198
0,2760,0.0391308,0.0128621,0,0,0.00065218
0,2820,0.039139,0.0128647,0,0,0.000652316666667
0,2880,0.0391392,0.0128644,0,0,0.00065232
0,2940,0.208701,0.0685963,0,0,0.00347835
0,3000,0.208668,0.0685844,0,0,0.0034778
0,3060,0.208672,0.0685877,0,0,0.003477866666667
0,3120,0.208678,0.0685897,0,0,0.003477966666667
0,3180,0.208678,0.0685892,0,0,0.003477966666667
0,3240,0.208683,0.068591,0,0,0.00347805
0,3300,0.208713,0.0686009,0,0,0.00347855
0,3360,0.208595,0.0685572,0,0,0.003476583333333
0,3420,0.208613,0.0685686,0,0,0.003476883333333
0,3480,0.208618,0.06857,0,0,0.003476966666667
0,3540,0.208545,0.0685436,0,0,0.00347575
1,0,0.208543,0.0685447,0,0,0.003475716666667
1,60,0.208535,0.0685441,0,0,0.003475583333333
