,Day,Hour,Minute,Disco,Backup,PV(kW),Battery_state,Battery_percent,Total_load_demand(kW),Price_multiplier,Additional_charge_multiplier
0,1,00,00,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,2.7969999999999993,0,0
1,1,00,01,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,2.8039999999999994,0,0
2,1,00,02,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,2.9729999999999994,0,0
3,1,00,03,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,3.3560000000000003,0,0
4,1,00,04,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,3.758,0,0
5,1,00,05,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,3.856,0,0
6,1,00,06,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.017999999999999,0,0
7,1,00,07,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.225999999999998,0,0
8,1,00,08,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.3779999999999974,0,0
9,1,00,09,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.654999999999998,0,0
10,1,00,10,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.578999999999998,0,0
11,1,00,11,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.773999999999999,0,0
12,1,00,12,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.713999999999999,0,0
13,1,00,13,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.838999999999999,0,0
14,1,00,14,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.778999999999998,0,0
15,1,00,15,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.854999999999998,0,0
16,1,00,16,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.950999999999998,0,0
17,1,00,17,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.950999999999998,0,0
18,1,00,18,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.8859999999999975,0,0
19,1,00,19,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.809999999999998,0,0
20,1,00,20,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.809999999999998,0,0
21,1,00,21,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,4.822999999999998,0,0
22,1,00,22,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.061999999999998,0,0
23,1,00,23,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.379999999999998,0,0
24,1,00,24,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.673999999999997,0,0
25,1,00,25,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.757999999999997,0,0
26,1,00,26,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.693999999999997,0,0
27,1,00,27,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.693999999999997,0,0
28,1,00,28,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.012999999999999,0,0
29,1,00,29,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.2029999999999985,0,0
30,1,00,30,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.808999999999998,0,0
31,1,00,31,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.748999999999998,0,0
32,1,00,32,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.739999999999998,0,0
33,1,00,33,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.774999999999999,0,0
34,1,00,34,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.734999999999998,0,0
35,1,00,35,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.898999999999998,0,0
36,1,00,36,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.0589999999999975,0,0
37,1,00,37,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.065999999999998,0,0
38,1,00,38,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.065999999999998,0,0
39,1,00,39,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.972999999999998,0,0
40,1,00,40,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.982999999999998,0,0
41,1,00,41,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.176999999999998,0,0
42,1,00,42,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.229999999999998,0,0
43,1,00,43,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.379999999999997,0,0
44,1,00,44,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.293999999999999,0,0
45,1,00,45,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.095999999999998,0,0
46,1,00,46,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.879999999999997,0,0
47,1,00,47,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.879999999999997,0,0
48,1,00,48,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.055999999999997,0,0
49,1,00,49,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.557999999999997,0,0
50,1,00,50,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.573999999999997,0,0
51,1,00,51,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.705999999999997,0,0
52,1,00,52,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.645999999999996,0,0
53,1,00,53,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.913999999999996,0,0
54,1,00,54,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.0639999999999965,0,0
55,1,00,55,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.754999999999997,0,0
56,1,00,56,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.728999999999997,0,0
57,1,00,57,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.778999999999997,0,0
58,1,00,58,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,8.271999999999997,0,0
59,1,00,59,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,8.360999999999997,0,0
60,1,01,00,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.085999999999997,0,0
61,1,01,01,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.999999999999997,0,0
62,1,01,02,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.766999999999998,0,0
63,1,01,03,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.835999999999998,0,0
64,1,01,04,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.112999999999997,0,0
65,1,01,05,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.935999999999997,0,0
66,1,01,06,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.781999999999997,0,0
67,1,01,07,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.7159999999999975,0,0
68,1,01,08,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.544999999999998,0,0
69,1,01,09,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.2529999999999974,0,0
70,1,01,10,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.973999999999997,0,0
71,1,01,11,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,5.809999999999997,0,0
72,1,01,12,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.268999999999996,0,0
73,1,01,13,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.290999999999996,0,0
74,1,01,14,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.290999999999996,0,0
75,1,01,15,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.266999999999997,0,0
76,1,01,16,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.195999999999998,0,0
77,1,01,17,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.656,0,0
78,1,01,18,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.675999999999998,0,0
79,1,01,19,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.812999999999998,0,0
80,1,01,20,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.967999999999997,0,0
81,1,01,21,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.940999999999998,0,0
82,1,01,22,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.903999999999998,0,0
83,1,01,23,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.744999999999998,0,0
84,1,01,24,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.816999999999998,0,0
85,1,01,25,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.918999999999999,0,0
86,1,01,26,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.858999999999999,0,0
87,1,01,27,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.014999999999999,0,0
88,1,01,28,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.453999999999998,0,0
89,1,01,29,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.453999999999998,0,0
90,1,01,30,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.614999999999998,0,0
91,1,01,31,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.707999999999998,0,0
92,1,01,32,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.707999999999998,0,0
93,1,01,33,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.647999999999998,0,0
94,1,01,34,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.458999999999998,0,0
95,1,01,35,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.348999999999998,0,0
96,1,01,36,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.858999999999998,0,0
97,1,01,37,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.338999999999999,0,0
98,1,01,38,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,7.011999999999999,0,0
99,1,01,39,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.859999999999998,0,0
100,1,01,40,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.593999999999998,0,0
101,1,01,41,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.883999999999999,0,0
102,1,01,42,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.685999999999998,0,0
103,1,01,43,POWER ON,BACKUP OFFLINE,0.0,IDLING,100,6.647999999999998,0,0
