,Start hour,End hour,Total energy demand (kWh),Required battery size (kWh)
0,0.0,6.0,39.266366666666634,157.06546666666654
1,6.0,12.0,134.9444,539.7776
2,12.0,18.0,131.33841666666677,525.3536666666671
3,18.0,0.0,178.3649666666667,713.4598666666668
4,0.0,12.0,174.2107666666664,696.8430666666655
5,12.0,0.0,309.7033833333337,1238.8135333333348
6,6.0,18.0,266.28281666666646,1065.1312666666659
7,18.0,6.0,217.63133333333332,870.5253333333333
8,0.0,18.0,305.54918333333296,1222.1967333333318
9,18.0,12.0,352.5757333333331,1410.3029333333325
10,12.0,6.0,348.96975000000015,1395.8790000000006
11,6.0,0.0,444.647783333333,1778.591133333332
